#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1247	6950	ENTREZ_GENE	TCP1	CCT-alpha|CCT1|CCTa|D6S230E|TCP-1-alpha	9606	Homo sapiens	-9.21	2.36e-13	2.39e-10	-	-	YES	BioGRID ORCS
1247	66U	UNKNOWN	CTD-2545G14.7	-	9606	Homo sapiens	-9.2	5.62e-11	6.43e-09	-	-	YES	BioGRID ORCS
1247	80U	UNKNOWN	AC009977.1	-	9606	Homo sapiens	-9.19	7.27e-08	1.91e-06	-	-	YES	BioGRID ORCS
1247	40U	UNKNOWN	AC002472.1	-	9606	Homo sapiens	-9.17	8.45e-08	2.16e-06	-	-	YES	BioGRID ORCS
1247	23173	ENTREZ_GENE	METAP1	MAP1A|MetAP1A|KIAA0094	9606	Homo sapiens	-9.06	3.33e-12	1.02e-09	-	-	YES	BioGRID ORCS
1247	55U	UNKNOWN	AC026369.1	-	9606	Homo sapiens	-9.03	8.49e-09	3.15e-07	-	-	YES	BioGRID ORCS
1247	83475	ENTREZ_GENE	DOHH	HLRC1|hDOHH	9606	Homo sapiens	-8.89	1.84e-12	6.71e-10	-	-	YES	BioGRID ORCS
1247	6223	ENTREZ_GENE	RPS19	DBA|DBA1|S19	9606	Homo sapiens	-8.87	5.28e-11	6.28e-09	-	-	YES	BioGRID ORCS
1247	39U	UNKNOWN	AC005082.1	-	9606	Homo sapiens	-8.87	5.02e-11	6.12e-09	-	-	YES	BioGRID ORCS
1247	1798	ENTREZ_GENE	DPAGT1	ALG7|CDG-Ij|CDG1J|CMS13|CMSTA2|D11S366|DGPT|DPAGT|DPAGT2|G1PT|GPT|UAGT|UGAT	9606	Homo sapiens	-8.82	2.66e-13	2.54e-10	-	-	YES	BioGRID ORCS
1247	47U	UNKNOWN	AC002451.1	-	9606	Homo sapiens	-8.82	3.3e-10	2.45e-08	-	-	YES	BioGRID ORCS
1247	41U	UNKNOWN	AC007216.2	-	9606	Homo sapiens	-8.77	3.11e-14	1.67e-10	-	-	YES	BioGRID ORCS
1247	7014	ENTREZ_GENE	TERF2	TRBF2|TRF2	9606	Homo sapiens	-8.76	9.3e-12	1.88e-09	-	-	YES	BioGRID ORCS
1247	9700	ENTREZ_GENE	ESPL1	ESP1|SEPA|KIAA0165	9606	Homo sapiens	-8.66	2.28e-10	1.79e-08	-	-	YES	BioGRID ORCS
1247	4221	ENTREZ_GENE	MEN1	MEAI|SCG2	9606	Homo sapiens	-8.62	6.18e-14	1.67e-10	-	-	YES	BioGRID ORCS
1247	4609	ENTREZ_GENE	MYC	MRTL|MYCC|bHLHe39|c-Myc	9606	Homo sapiens	-8.56	8.33e-14	1.67e-10	-	-	YES	BioGRID ORCS
1247	109729136	ENTREZ_GENE	LILRB1-AS1	AC009892.10	9606	Homo sapiens	-8.46	1.12e-12	5.06e-10	-	-	YES	BioGRID ORCS
1247	10097	ENTREZ_GENE	ACTR2	ARP2	9606	Homo sapiens	-8.45	2.43e-11	3.6e-09	-	-	YES	BioGRID ORCS
1247	3151	ENTREZ_GENE	HMGN2	HMG17	9606	Homo sapiens	-8.38	3.37e-10	2.49e-08	-	-	YES	BioGRID ORCS
1247	79947	ENTREZ_GENE	DHDDS	CIT|CPT|DS|HDS|RP59|FLJ13102	9606	Homo sapiens	-8.38	7.32e-09	2.79e-07	-	-	YES	BioGRID ORCS
1247	6635	ENTREZ_GENE	SNRPE	HYPT11|SME|Sm-E|snRNP-E	9606	Homo sapiens	-8.29	1.87e-07	4.22e-06	-	-	YES	BioGRID ORCS
1247	79087	ENTREZ_GENE	ALG12	CDG1G|ECM39|PP14673|hALG12	9606	Homo sapiens	-8.27	1.51e-13	1.78e-10	-	-	YES	BioGRID ORCS
1247	51069	ENTREZ_GENE	MRPL2	CGI-22|MRP-L14|RPML14	9606	Homo sapiens	-8.2	2.35e-11	3.54e-09	-	-	YES	BioGRID ORCS
1247	70U	UNKNOWN	AC004076.7	-	9606	Homo sapiens	-8.2	1.32e-11	2.37e-09	-	-	YES	BioGRID ORCS
1247	64U	UNKNOWN	RP11-322L20.1	-	9606	Homo sapiens	-8.19	1.87e-10	1.53e-08	-	-	YES	BioGRID ORCS
1247	6144	ENTREZ_GENE	RPL21	HYPT12|L21|FLJ27458|DKFZp686C06101	9606	Homo sapiens	-8.18	2.66e-11	3.89e-09	-	-	YES	BioGRID ORCS
1247	4085	ENTREZ_GENE	MAD2L1	HSMAD2|MAD2	9606	Homo sapiens	-8.17	1.54e-08	5.07e-07	-	-	YES	BioGRID ORCS
1247	5441	ENTREZ_GENE	POLR2L	RBP10|RPABC5|RPB10|RPB10beta|RPB7.6|hRPB7.6|hsRPB10b	9606	Homo sapiens	-8.14	1.69e-11	2.82e-09	-	-	YES	BioGRID ORCS
1247	64432	ENTREZ_GENE	MRPS25	MRP-S25|RPMS25|DKFZp313H0817|FLJ00023	9606	Homo sapiens	-8.12	1.52e-11	2.64e-09	-	-	YES	BioGRID ORCS
1247	8882	ENTREZ_GENE	ZPR1	ZNF259	9606	Homo sapiens	-8.11	4.05e-13	3.37e-10	-	-	YES	BioGRID ORCS
1247	51692	ENTREZ_GENE	CPSF3	CPSF-73|CPSF73|YSH1	9606	Homo sapiens	-8.1	6.7e-14	1.67e-10	-	-	YES	BioGRID ORCS
1247	653545	ENTREZ_GENE	DUX4L5	-	9606	Homo sapiens	-8.04	1.03e-10	9.74e-09	-	-	YES	BioGRID ORCS
1247	4809	ENTREZ_GENE	SNU13	15.5K|FA-1|FA1|NHP2L1|NHPX|OTK27|SNRNP15-5|SPAG12|SSFA1	9606	Homo sapiens	-8.04	8.75e-11	8.77e-09	-	-	YES	BioGRID ORCS
1247	78988	ENTREZ_GENE	MRPL57	MRP63|bMRP63	9606	Homo sapiens	-8.0	7.16e-12	1.64e-09	-	-	YES	BioGRID ORCS
1247	84262	ENTREZ_GENE	PSMG3	C7orf48|PAC3	9606	Homo sapiens	-7.98	4.5e-09	1.91e-07	-	-	YES	BioGRID ORCS
1247	5883	ENTREZ_GENE	RAD9A	RAD9	9606	Homo sapiens	-7.97	1.95e-12	6.96e-10	-	-	YES	BioGRID ORCS
1247	116U	UNKNOWN	RP11-585F1.10	-	9606	Homo sapiens	-7.96	4.48e-08	1.26e-06	-	-	YES	BioGRID ORCS
1247	60U	UNKNOWN	RP11-127H5.1	-	9606	Homo sapiens	-7.95	1.35e-08	4.59e-07	-	-	YES	BioGRID ORCS
1247	22948	ENTREZ_GENE	CCT5	CCT-epsilon|CCTE|HEL-S-69|PNAS-102|TCP-1-epsilon|KIAA0098	9606	Homo sapiens	-7.92	1.6e-09	8.33e-08	-	-	YES	BioGRID ORCS
1247	120U	UNKNOWN	AC026407.1	-	9606	Homo sapiens	-7.92	2.38e-07	5.15e-06	-	-	YES	BioGRID ORCS
1247	10726	ENTREZ_GENE	NUDC	HNUDC|MNUDC|NPD011	9606	Homo sapiens	-7.91	6.12e-13	3.6e-10	-	-	YES	BioGRID ORCS
1247	2597	ENTREZ_GENE	GAPDH	G3PD|GAPD|HEL-S-162eP	9606	Homo sapiens	-7.9	5.89e-13	3.6e-10	-	-	YES	BioGRID ORCS
1247	10575	ENTREZ_GENE	CCT4	CCT-DELTA|Cctd|SRB	9606	Homo sapiens	-7.9	5.52e-12	1.42e-09	-	-	YES	BioGRID ORCS
1247	158	ENTREZ_GENE	ADSL	AMPS|ASASE|ASL	9606	Homo sapiens	-7.89	9.88e-12	1.96e-09	-	-	YES	BioGRID ORCS
1247	746	ENTREZ_GENE	TMEM258	C11orf10	9606	Homo sapiens	-7.86	2.1e-10	1.68e-08	-	-	YES	BioGRID ORCS
1247	3190	ENTREZ_GENE	HNRNPK	AUKS|CSBP|HNRPK|TUNP	9606	Homo sapiens	-7.8	1.71e-10	1.42e-08	-	-	YES	BioGRID ORCS
1247	54U	UNKNOWN	AC009060.1	-	9606	Homo sapiens	-7.79	5.86e-11	6.51e-09	-	-	YES	BioGRID ORCS
1247	44U	UNKNOWN	AC004824.2	-	9606	Homo sapiens	-7.78	1.57e-08	5.14e-07	-	-	YES	BioGRID ORCS
1247	10352	ENTREZ_GENE	WARS2	TrpRS	9606	Homo sapiens	-7.76	1.4e-12	5.52e-10	-	-	YES	BioGRID ORCS
1247	4548	ENTREZ_GENE	MTR	HMAG|MS|cblG	9606	Homo sapiens	-7.75	3.54e-12	1.04e-09	-	-	YES	BioGRID ORCS
1247	6500	ENTREZ_GENE	SKP1	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	9606	Homo sapiens	-7.75	1.26e-08	4.34e-07	-	-	YES	BioGRID ORCS
1247	100288500	ENTREZ_GENE	REXO1L10P	-	9606	Homo sapiens	-7.75	8.29e-11	8.54e-09	-	-	YES	BioGRID ORCS
1247	6234	ENTREZ_GENE	RPS28	DBA15|S28	9606	Homo sapiens	-7.74	2.62e-10	2.01e-08	-	-	YES	BioGRID ORCS
1247	57819	ENTREZ_GENE	LSM2	C6orf28|G7B|YBL026W|snRNP	9606	Homo sapiens	-7.74	5.8e-13	3.6e-10	-	-	YES	BioGRID ORCS
1247	101059953	ENTREZ_GENE	NPIPA8	LCR16a9	9606	Homo sapiens	-7.74	2e-07	4.46e-06	-	-	YES	BioGRID ORCS
1247	1350	ENTREZ_GENE	COX7C	-	9606	Homo sapiens	-7.73	7.65e-12	1.7e-09	-	-	YES	BioGRID ORCS
1247	25973	ENTREZ_GENE	PARS2	MT-PRORS|proRS|DKFZp727A071	9606	Homo sapiens	-7.71	4.91e-13	3.6e-10	-	-	YES	BioGRID ORCS
1247	1869	ENTREZ_GENE	E2F1	E2F-1|RBAP1|RBBP3|RBP3	9606	Homo sapiens	-7.68	5.27e-13	3.6e-10	-	-	YES	BioGRID ORCS
1247	7407	ENTREZ_GENE	VARS	G7A|VARS1|VARS2	9606	Homo sapiens	-7.66	1.5e-10	1.31e-08	-	-	YES	BioGRID ORCS
1247	4351	ENTREZ_GENE	MPI	CDG1B|PMI|PMI1	9606	Homo sapiens	-7.65	8.99e-12	1.85e-09	-	-	YES	BioGRID ORCS
1247	7317	ENTREZ_GENE	UBA1	A1S9|A1S9T|A1ST|AMCX1|CFAP124|GXP1|POC20|SMAX2|UBA1A|UBE1|UBE1X	9606	Homo sapiens	-7.64	3.25e-08	9.55e-07	-	-	YES	BioGRID ORCS
1247	60496	ENTREZ_GENE	AASDHPPT	AASD-PPT|ACPS|CGI-80|LYS2|LYS5	9606	Homo sapiens	-7.63	8.41e-11	8.58e-09	-	-	YES	BioGRID ORCS
1247	64968	ENTREZ_GENE	MRPS6	C21orf101|MRP-S6|RPMS6|S6mt	9606	Homo sapiens	-7.63	1.43e-11	2.52e-09	-	-	YES	BioGRID ORCS
1247	9184	ENTREZ_GENE	BUB3	BUB3L|hBUB3	9606	Homo sapiens	-7.61	2.8e-12	8.88e-10	-	-	YES	BioGRID ORCS
1247	1841	ENTREZ_GENE	DTYMK	CDC8|PP3731|TMPK|TYMK	9606	Homo sapiens	-7.6	7.57e-12	1.7e-09	-	-	YES	BioGRID ORCS
1247	4174	ENTREZ_GENE	MCM5	CDC46|P1-CDC46	9606	Homo sapiens	-7.57	6.71e-13	3.73e-10	-	-	YES	BioGRID ORCS
1247	11019	ENTREZ_GENE	LIAS	HGCLAS|HUSSY-01|LAS|LIP1|LS|PDHLD	9606	Homo sapiens	-7.56	8.51e-12	1.81e-09	-	-	YES	BioGRID ORCS
1247	283767	ENTREZ_GENE	GOLGA6L1	-	9606	Homo sapiens	-7.52	1.37e-09	7.44e-08	-	-	YES	BioGRID ORCS
1247	5686	ENTREZ_GENE	PSMA5	PSC5|ZETA	9606	Homo sapiens	-7.51	3.66e-11	4.78e-09	-	-	YES	BioGRID ORCS
1247	8565	ENTREZ_GENE	YARS	CMTDIC|TYRRS|YRS|YTS	9606	Homo sapiens	-7.48	4.32e-11	5.44e-09	-	-	YES	BioGRID ORCS
1247	100U	UNKNOWN	RP11-467N20.5	-	9606	Homo sapiens	-7.48	2.71e-11	3.92e-09	-	-	YES	BioGRID ORCS
1247	57U	UNKNOWN	FKSG62	-	9606	Homo sapiens	-7.47	5.02e-12	1.34e-09	-	-	YES	BioGRID ORCS
1247	9739	ENTREZ_GENE	SETD1A	KMT2F|Set1|Set1A|KIAA0339	9606	Homo sapiens	-7.46	1.41e-12	5.52e-10	-	-	YES	BioGRID ORCS
1247	10423	ENTREZ_GENE	CDIPT	PIS|PIS1	9606	Homo sapiens	-7.46	2.25e-11	3.47e-09	-	-	YES	BioGRID ORCS
1247	54663	ENTREZ_GENE	WDR74	FLJ10439	9606	Homo sapiens	-7.45	1.66e-10	1.4e-08	-	-	YES	BioGRID ORCS
1247	3364	ENTREZ_GENE	HUS1	hHUS1	9606	Homo sapiens	-7.42	1.98e-10	1.59e-08	-	-	YES	BioGRID ORCS
1247	7167	ENTREZ_GENE	TPI1	HEL-S-49|TIM|TPI|TPID	9606	Homo sapiens	-7.41	9.45e-13	4.53e-10	-	-	YES	BioGRID ORCS
1247	81099	ENTREZ_GENE	OR4F17	OR4F11P|OR4F18|OR4F19	9606	Homo sapiens	-7.4	2.27e-11	3.47e-09	-	-	YES	BioGRID ORCS
1247	506	ENTREZ_GENE	ATP5B	ATPMB|ATPSB|HEL-S-271	9606	Homo sapiens	-7.39	1.29e-11	2.35e-09	-	-	YES	BioGRID ORCS
1247	55644	ENTREZ_GENE	OSGEP	GCPL1|KAE1|OSGEP1|PRSMG1|TCS3	9606	Homo sapiens	-7.39	1.12e-11	2.07e-09	-	-	YES	BioGRID ORCS
1247	2193	ENTREZ_GENE	FARSA	CML33|FARSL|FARSLA|FRSA|PheHA	9606	Homo sapiens	-7.38	3.14e-08	9.33e-07	-	-	YES	BioGRID ORCS
1247	2475	ENTREZ_GENE	MTOR	FRAP|FRAP1|FRAP2|RAFT1|RAPT1|SKS|FLJ44809	9606	Homo sapiens	-7.37	1.08e-11	2.03e-09	-	-	YES	BioGRID ORCS
1247	84313	ENTREZ_GENE	VPS25	DERP9|EAP20|FAP20	9606	Homo sapiens	-7.36	5.56e-14	1.67e-10	-	-	YES	BioGRID ORCS
1247	3336	ENTREZ_GENE	HSPE1	CPN10|EPF|GROES|HSP10	9606	Homo sapiens	-7.35	3.41e-10	2.5e-08	-	-	YES	BioGRID ORCS
1247	51174	ENTREZ_GENE	TUBD1	TUBD|FLJ12709	9606	Homo sapiens	-7.32	1.57e-11	2.68e-09	-	-	YES	BioGRID ORCS
1247	51647	ENTREZ_GENE	FAM96B	CGI-128|CIA2B|MIP18	9606	Homo sapiens	-7.32	4.34e-10	2.97e-08	-	-	YES	BioGRID ORCS
1247	28998	ENTREZ_GENE	MRPL13	L13|L13A|L13mt|RPL13|RPML13	9606	Homo sapiens	-7.31	1.78e-11	2.92e-09	-	-	YES	BioGRID ORCS
1247	7290	ENTREZ_GENE	HIRA	DGCR1|TUP1|TUPLE1	9606	Homo sapiens	-7.3	5.61e-11	6.43e-09	-	-	YES	BioGRID ORCS
1247	8140	ENTREZ_GENE	SLC7A5	4F2LC|CD98|D16S469E|E16|LAT1|MPE16	9606	Homo sapiens	-7.3	3.15e-10	2.37e-08	-	-	YES	BioGRID ORCS
1247	23587	ENTREZ_GENE	ELP5	C17orf81|DERP6|HSPC002|MST071|MSTP071	9606	Homo sapiens	-7.3	7.05e-13	3.81e-10	-	-	YES	BioGRID ORCS
1247	71U	UNKNOWN	AL353608.1	-	9606	Homo sapiens	-7.3	6.07e-10	3.88e-08	-	-	YES	BioGRID ORCS
1247	5111	ENTREZ_GENE	PCNA	ATLD2	9606	Homo sapiens	-7.29	7.57e-13	3.98e-10	-	-	YES	BioGRID ORCS
1247	10890	ENTREZ_GENE	RAB10	-	9606	Homo sapiens	-7.29	3.57e-09	1.59e-07	-	-	YES	BioGRID ORCS
1247	527	ENTREZ_GENE	ATP6V0C	ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3	9606	Homo sapiens	-7.28	1.93e-08	6.11e-07	-	-	YES	BioGRID ORCS
1247	23107	ENTREZ_GENE	MRPS27	MRP-S27|S27mt|KIAA0264	9606	Homo sapiens	-7.26	2.55e-11	3.75e-09	-	-	YES	BioGRID ORCS
1247	25831	ENTREZ_GENE	HECTD1	EULIR|KIAA1131	9606	Homo sapiens	-7.25	4.58e-11	5.73e-09	-	-	YES	BioGRID ORCS
1247	85365	ENTREZ_GENE	ALG2	CDG1I|CDGIi|CMS14|CMSTA3|NET38|hALPG2|FLJ14511	9606	Homo sapiens	-7.24	1.05e-13	1.78e-10	-	-	YES	BioGRID ORCS
1247	283989	ENTREZ_GENE	TSEN54	PCH2A|PCH4|PCH5|SEN54L|sen54	9606	Homo sapiens	-7.23	5.75e-12	1.46e-09	-	-	YES	BioGRID ORCS
1247	5822	ENTREZ_GENE	PWP2	EHOC-17|PWP2H|UTP1	9606	Homo sapiens	-7.21	1.24e-12	5.37e-10	-	-	YES	BioGRID ORCS
1247	526	ENTREZ_GENE	ATP6V1B2	ATP6B1B2|ATP6B2|DOOD|HO57|VATB|VPP3|Vma2|ZLS2	9606	Homo sapiens	-7.16	9.58e-11	9.21e-09	-	-	YES	BioGRID ORCS
1247	6774	ENTREZ_GENE	STAT3	ADMIO|ADMIO1|APRF|HIES	9606	Homo sapiens	-7.16	3.07e-11	4.23e-09	-	-	YES	BioGRID ORCS
1247	10898	ENTREZ_GENE	CPSF4	CPSF30|NAR|NEB-1|NEB1	9606	Homo sapiens	-7.16	8.3e-12	1.8e-09	-	-	YES	BioGRID ORCS
1247	4677	ENTREZ_GENE	NARS	ASNRS|NARS1	9606	Homo sapiens	-7.09	6.03e-08	1.63e-06	-	-	YES	BioGRID ORCS
1247	4728	ENTREZ_GENE	NDUFS8	CI-23k|CI23KD|TYKY	9606	Homo sapiens	-7.09	2.4e-11	3.57e-09	-	-	YES	BioGRID ORCS
1247	10556	ENTREZ_GENE	RPP30	TSG15	9606	Homo sapiens	-7.07	3.61e-09	1.59e-07	-	-	YES	BioGRID ORCS
1247	2342	ENTREZ_GENE	FNTB	FPTB	9606	Homo sapiens	-7.03	6.26e-07	1.16e-05	-	-	YES	BioGRID ORCS
1247	4659	ENTREZ_GENE	PPP1R12A	M130|MBS|MYPT1	9606	Homo sapiens	-7.03	1.11e-10	1.01e-08	-	-	YES	BioGRID ORCS
1247	6228	ENTREZ_GENE	RPS23	MABAS|MCINS|PAMAS|S23	9606	Homo sapiens	-7.02	2.36e-07	5.12e-06	-	-	YES	BioGRID ORCS
1247	79840	ENTREZ_GENE	NHEJ1	XLF|FLJ12610|Cernunnos	9606	Homo sapiens	-7.02	7.51e-11	7.94e-09	-	-	YES	BioGRID ORCS
1247	2237	ENTREZ_GENE	FEN1	FEN-1|MF1|RAD2	9606	Homo sapiens	-7.0	3.25e-11	4.39e-09	-	-	YES	BioGRID ORCS
1247	5500	ENTREZ_GENE	PPP1CB	HEL-S-80p|PP-1B|PP1B|PP1beta|PPP1CD	9606	Homo sapiens	-7.0	3.69e-06	5.36e-05	-	-	YES	BioGRID ORCS
1247	84172	ENTREZ_GENE	POLR1B	RPA135|RPA2|Rpo1-2|FLJ10816|FLJ21921	9606	Homo sapiens	-7.0	5.41e-09	2.21e-07	-	-	YES	BioGRID ORCS
1247	741	ENTREZ_GENE	ZNHIT2	C11orf5|FON	9606	Homo sapiens	-6.99	4.79e-12	1.32e-09	-	-	YES	BioGRID ORCS
1247	595	ENTREZ_GENE	CCND1	BCL1|D11S287E|PRAD1|U21B31	9606	Homo sapiens	-6.96	2.41e-10	1.87e-08	-	-	YES	BioGRID ORCS
1247	3028	ENTREZ_GENE	HSD17B10	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|HSD10MD|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	9606	Homo sapiens	-6.93	6.06e-13	3.6e-10	-	-	YES	BioGRID ORCS
1247	1736	ENTREZ_GENE	DKC1	CBF5|DKC|DKCX|NAP57|NOLA4|XAP101|dyskerin	9606	Homo sapiens	-6.92	3.47e-12	1.04e-09	-	-	YES	BioGRID ORCS
1247	2935	ENTREZ_GENE	GSPT1	551G9.2|ETF3A|GST1|eRF3a	9606	Homo sapiens	-6.88	3.86e-11	4.98e-09	-	-	YES	BioGRID ORCS
1247	4725	ENTREZ_GENE	NDUFS5	CI-15k|CI15K	9606	Homo sapiens	-6.87	7.63e-12	1.7e-09	-	-	YES	BioGRID ORCS
1247	5437	ENTREZ_GENE	POLR2H	RPABC3|RPB17|RPB8	9606	Homo sapiens	-6.87	1.98e-11	3.17e-09	-	-	YES	BioGRID ORCS
1247	51184	ENTREZ_GENE	GPN3	ATPBD1C	9606	Homo sapiens	-6.87	3.29e-11	4.39e-09	-	-	YES	BioGRID ORCS
1247	523	ENTREZ_GENE	ATP6V1A	ARCL2D|ATP6A1|ATP6V1A1|HO68|VA68|VPP2|Vma1	9606	Homo sapiens	-6.86	5.44e-11	6.4e-09	-	-	YES	BioGRID ORCS
1247	10652	ENTREZ_GENE	YKT6	-	9606	Homo sapiens	-6.86	2.79e-10	2.12e-08	-	-	YES	BioGRID ORCS
1247	7879	ENTREZ_GENE	RAB7A	PRO2706|RAB7	9606	Homo sapiens	-6.85	6.74e-11	7.24e-09	-	-	YES	BioGRID ORCS
1247	790	ENTREZ_GENE	CAD	CDG1Z|EIEE50|GATD4	9606	Homo sapiens	-6.83	3.45e-08	1.01e-06	-	-	YES	BioGRID ORCS
1247	3301	ENTREZ_GENE	DNAJA1	DJ-2|DjA1|HDJ2|HSDJ|HSJ-2|HSJ2|HSPF4|NEDD7|hDJ-2	9606	Homo sapiens	-6.82	2.97e-11	4.15e-09	-	-	YES	BioGRID ORCS
1247	220064	ENTREZ_GENE	ORAOV1	TAOS1	9606	Homo sapiens	-6.79	8.32e-14	1.67e-10	-	-	YES	BioGRID ORCS
1247	4598	ENTREZ_GENE	MVK	LRBP|MK|MVLK|POROK3	9606	Homo sapiens	-6.78	8.31e-08	2.14e-06	-	-	YES	BioGRID ORCS
1247	11331	ENTREZ_GENE	PHB2	BAP|BCAP37|Bap37|PNAS-141|REA|hBAP|p22	9606	Homo sapiens	-6.78	2.29e-08	7.1e-07	-	-	YES	BioGRID ORCS
1247	5230	ENTREZ_GENE	PGK1	HEL-S-68p|MIG10|PGKA	9606	Homo sapiens	-6.77	1.8e-08	5.77e-07	-	-	YES	BioGRID ORCS
1247	25843	ENTREZ_GENE	MOB4	2C4D|CGI-95|MOB1|MOB3|MOBKL3|PHOCN|PREI3|DKFZP564M112	9606	Homo sapiens	-6.77	8.91e-12	1.85e-09	-	-	YES	BioGRID ORCS
1247	2091	ENTREZ_GENE	FBL	FIB|FLRN|Nop1|RNU3IP1	9606	Homo sapiens	-6.76	4.02e-09	1.75e-07	-	-	YES	BioGRID ORCS
1247	9774	ENTREZ_GENE	BCLAF1	BTF|bK211L9.1|KIAA0164	9606	Homo sapiens	-6.75	6e-12	1.5e-09	-	-	YES	BioGRID ORCS
1247	123U	UNKNOWN	AC102948.2	-	9606	Homo sapiens	-6.74	8.3e-07	1.46e-05	-	-	YES	BioGRID ORCS
1247	74U	UNKNOWN	RP11-944C7.1	-	9606	Homo sapiens	-6.74	2.23e-06	3.47e-05	-	-	YES	BioGRID ORCS
1247	51U	UNKNOWN	CTD-2545M3.6	-	9606	Homo sapiens	-6.72	1.3e-07	3.11e-06	-	-	YES	BioGRID ORCS
