name,target,moa,avg_ec50,occurrence,min_ec50,max_ec50
bortezomib,"PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMD1, PSMD2, RELA","NFkB pathway inhibitor, proteasome inhibitor",0.037072883,15,0.003557059,0.129273023
carfilzomib,"PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9",proteasome inhibitor,0.03781238,44,0.002106553,0.1800907952510859
tanespimycin,HSP90AA1,HSP inhibitor,0.044719509,17,0.004419776,0.1280145889037009
MLN0128,"MTOR, PIK3CA, PIK3CD, PIK3CG",mTOR inhibitor,0.04913471,12,0.001459682,0.2681426789907721
icotinib,EGFR,EGFR inhibitor,0.05054363,2,0.046949537,0.054137723
XL-647,"EGFR, EPHB4, ERBB2, FLT4, KDR","EGFR inhibitor, VEGFR inhibitor",0.05984834,4,0.007136887,0.2070055513792443
panobinostat,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC6, HDAC7, HDAC8, HDAC9",HDAC inhibitor,0.067202659,20,0.007899099,0.2824169319183263
dasatinib,"ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1","Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor",0.080972648,3,0.033259031,0.1573019174916309
AS-703026,"MAP2K1, MAP2K2",MEK inhibitor,0.096715188,2,0.061306472,0.1321239040154939
AZD2014,MTOR,mTOR inhibitor,0.10665873312978845,6,0.011442849,0.2772088883456513
idasanutlin,"MDM2, TP53",MDM inhibitor,0.1303944704882095,4,0.1021493248510182,0.1837064181954922
AT13387,HSP90AA1,HSP antagonist,0.1338432643788911,14,0.028964477,0.5892179501475142
volasertib,PLK1,PLK inhibitor,0.1366000453993364,7,0.00459992,0.7904896996814399
tozasertib,"AURKA, AURKB, AURKC, LCK","Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",0.1411986999485391,3,0.1268170903677969,0.1660629996362269
irinotecan,"TOP1, TOP1MT",topoisomerase inhibitor,0.16221175832310006,12,0.011966852,0.4551053645520714
daunorubicin,"TOP2A, TOP2B","RNA synthesis inhibitor, topoisomerase inhibitor",0.17672544933573756,12,0.015474851,0.6137641686876044
brigatinib,"ALK, EGFR","ALK tyrosine kinase receptor inhibitor, EGFR inhibitor",0.1833677948720262,1,0.1833677948720262,0.1833677948720262
sorafenib,"BRAF, DDR2, FGFR1, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RAF1, RET","FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",0.1910758278319419,1,0.1910758278319419,0.1910758278319419
navitoclax,"BCL2, BCL2L1, BCL2L2",BCL inhibitor,0.2095464309048793,5,0.003255281,0.9542984874070196
alvocidib,"CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM",CDK inhibitor,0.21749324453569735,23,0.025230761,0.5356961996135947
palbociclib,"CDK4, CDK6",CDK inhibitor,0.2388745231166197,1,0.2388745231166197,0.2388745231166197
trametinib,"MAP2K1, MAP2K2",MEK inhibitor,0.25020311442380283,6,0.006525468,1.067373246284303
indisulam,"CA1, CA12, CA14, CA2, CA6, CA7, CA9",CDK inhibitor,0.32623980332505387,9,0.08719065,0.5258860663993037
selumetinib,MAP2K1,MEK inhibitor,0.3338120033517575,4,0.1238692232296653,0.7560018418969451
pevonedistat,"NAE1, UBA3",nedd activating enzyme inhibitor,0.3705651711326731,12,0.019822464,1.2052953214241389
BIIB021,HSP90AA1,HSP inhibitor,0.37884073511015204,8,0.1473008636385119,0.8257262169842143
fosbretabulin,CDH5,"tubulin polymerization inhibitor, VE-cadherin antagonist",0.3914174260165905,6,0.2363373940058146,0.5371252001269382
napabucasin,STAT3,STAT inhibitor,0.40589747906520807,18,0.050765823,3.183395211137112
talazoparib,PARP2,PARP inhibitor,0.4461722414951344,4,0.005376141,1.588763313148486
barasertib,"AURKA, AURKB",Aurora kinase inhibitor,0.4479127668280478,5,0.1426162413307553,0.8037968548198046
erlotinib,"EGFR, NR1I2",EGFR inhibitor,0.48102407132672115,4,0.015044692,1.0385239851156545
foretinib,"FLT1, FLT4, KDR, MET",VEGFR inhibitor,0.5014658415645498,5,0.030165107,0.9081580126525916
decitabine,"DNMT1, DNMT3A",DNA methyltransferase inhibitor,0.509708633,3,0.4299657713030506,0.5901824893053434
abemaciclib,"CDK4, CDK6",CDK inhibitor,0.5354509820038994,3,0.4133161923022797,0.6122230219064727
alpelisib,"PIK3CA, PIK3CB, PIK3CD, PIK3CG",PI3K inhibitor,0.5639938024671621,3,0.3019097389062346,0.962727031
resminostat,"HDAC1, HDAC3, HDAC6, HDAC8",HDAC inhibitor,0.5745030731616673,8,0.3170974435788836,1.0971420962853642
AT-7519,"CDK1, CDK2, CDK4, CDK5, CDK6, CDK9",CDK inhibitor,0.593404413,23,0.096955504,1.272527391591461
GDC-0980,"FGR, MAP3K9, MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, SYK","mTOR inhibitor, PI3K inhibitor",0.6668161615866188,5,0.1084348772370095,2.218425867793309
MK-1775,WEE1,WEE1 kinase inhibitor,0.6668637616393923,8,0.4102075253995317,1.2158224430396167
tivantinib,MET,tyrosine kinase inhibitor,0.7010572149965973,4,0.2076554804247814,1.3640694584049835
P276-00,"CDK1, CDK4, CDK9",CDK inhibitor,0.7667368763964754,6,0.1382606124230344,1.0392470753151613
gambogic-acid,BCL2,caspase activator,0.7690461942542596,12,0.2405399684075648,1.7364133088877425
carmofur,TYMS,thymidylate synthase inhibitor,0.7822988327109904,3,0.1931372452531072,1.2579053500292443
SCH-900776,"CDK2, CHEK1",CHK inhibitor,0.8345975121344419,4,0.1294136517891239,2.312940078616802
uprosertib,"AKT1, AKT2, AKT3",AKT inhibitor,0.8358405752534053,8,0.331731881,1.740137417
I-BET-762,"BRD2, BRD3, BRD4",bromodomain inhibitor,0.9246899531532071,5,0.247458567,2.7713272001879834
pelitinib,EGFR,EGFR inhibitor,1.1213321079305174,3,0.000779868,3.336374363967703
osimertinib,EGFR,EGFR inhibitor,1.1719536847002254,2,0.01444642,2.329460949234257
atiprimod,"JAK2, STAT3","JAK inhibitor, STAT inhibitor",1.1908285182760143,1,1.1908285182760143,1.1908285182760143
belinostat,"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",HDAC inhibitor,1.240894741102833,7,0.3453578336565672,2.720092355200732
vorinostat,"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9",HDAC inhibitor,1.344977973347523,3,0.1135610709753287,2.724353941855852
afatinib,"EGFR, ERBB2, ERBB4",EGFR inhibitor,1.3615483294068762,7,0.001044448,5.754237181051163
PHA-848125,"CDK2, CDK4, CDK7, NTRK1","CDK inhibitor, growth factor receptor inhibitor",1.4888726997779713,6,0.2533431015077478,2.250862703776609
obatoclax,BCL2,BCL inhibitor,1.5251556414842384,10,0.1673333167654773,12.214466006527376
rociletinib,EGFR,EGFR inhibitor,1.556268120274417,5,0.08717682,4.756030775908315
LY2603618,CHEK1,CHK inhibitor,1.6887494360300486,2,1.6492446629127144,1.7282542091473827
ONC201,TNFSF10,"AKT inhibitor, MAP kinase inhibitor",1.8774762216845613,1,1.8774762216845613,1.8774762216845613
niraparib,PARP1,PARP inhibitor,1.884742719461041,1,1.884742719461041,1.884742719461041
capecitabine,TYMS,"DNA synthesis inhibitor, thymidylate synthase inhibitor",1.9804119074109547,1,1.9804119074109547,1.9804119074109547
dacomitinib,"EGFR, ERBB2, ERBB4",EGFR inhibitor,2.7868913487886897,3,0.011351326,5.572352179662037
axitinib,"CSF1, FLT1, FLT4, KDR, PLK4","PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",3.130010887921175,1,3.130010887921175,3.130010887921175
lenvatinib,"FLT4, KDR","FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",4.325197283281718,2,0.036305947,8.614088619673314
2-methoxyestradiol,"COMT, CYP19A1, CYP1A1, CYP1B1, HIF1A, TUBB",hypoxia inducible factor inhibitor,6.407459037973202,1,6.407459037973202,6.407459037973202
