name,target,moa,avg_ec50,occurrence,min_ec50,max_ec50
givinostat,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",HDAC inhibitor,0.7608846230619134,84,0.16392103506799,6.33412409624929
PCI-24781,"HDAC1, HDAC2, HDAC3, HDAC6",HDAC inhibitor,0.7971809429201271,89,0.0432853760519651,2.70037515701746
MK-1775,WEE1,WEE1 kinase inhibitor,1.2376584700836466,176,0.0001059192968251,37.34274460941964
triapine,"RRM1, RRM2",ribonucleotide reductase inhibitor,1.2914867277066,91,0.160964518131827,15.1690241633819
AR-42,HDAC1,HDAC inhibitor,1.3379130941244295,88,0.0921697778660732,26.570550221673
BAM7,BAX,BAX activator,1.4041944120514585,85,0.0017167389974365,8.77428447709387
nutlin-3,"MDM2, TP53",MDM inhibitor,1.4956693845332574,79,3.73403106981717e-05,60.3419853413954
lovastatin,"HDAC2, HMGCR, ITGAL, NR1I2",HMGCR inhibitor,1.614777124971578,52,0.0010669287599895,9.28837978274596
entinostat,"HDAC1, HDAC2, HDAC3, HDAC9",HDAC inhibitor,1.7016943507023996,90,0.0013994177507062,12.2214303037889
NSC-3852,HDAC1,HDAC inhibitor,1.7598688617245253,86,0.0122572962128537,9.61615822383824
serdemetan,MDM2,MDM inhibitor,1.9070505378564901,62,0.0006070468929125,7.95671865789367
enocitabine,"CMPK1, RRM1, TYMS",DNA synthesis inhibitor,2.077152407223809,80,2.5632039115808e-05,27.6734625328841
pyroxamide,HDAC1,HDAC inhibitor,2.083431080043005,81,0.0018421606612893,8.29551416364285
fludarabine-phosphate,"DCK, POLA1, POLD1, POLE, RRM1, RRM2, RRM2B",ribonucleotide reductase inhibitor,2.111601022280275,87,0.0001058590871954,8.2990975148133
scriptaid,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",HDAC inhibitor,2.1436057814016203,92,1.61824212766611e-05,8.33736040714276
CGM097,MDM2,MDM inhibitor,2.2399771846396104,74,1.89085245690013e-05,56.7460150565275
ACY-1215,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8",HDAC inhibitor,2.3516646932236807,87,0.0003516623390289,9.41320773098397
belinostat,"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",HDAC inhibitor,2.6289698728756705,176,5.590339192068182e-05,94.49648915620804
PD-407824,WEE1,PKC inhibitor,2.7982247264818048,81,2.16291849996734e-05,34.8808585588323
fludarabine,"ADA, RRM1, RRM2",ribonucleotide reductase inhibitor,2.896490062927118,81,0.001396613301629,95.2759586038976
idasanutlin,"MDM2, TP53",MDM inhibitor,4.515197158298407,177,1.788714750494779e-05,230.63076196186609
parthenolide-(-),HDAC1,NFkB pathway inhibitor,4.519912728823039,89,0.0002937981227717,25.440920813661
mocetinostat,"HDAC1, HDAC11, HDAC2, HDAC3",HDAC inhibitor,6.474340285821075,52,0.0003571617023067,319.157670185794
RG2833,"HDAC1, HDAC3",HDAC inhibitor,7.685139997558693,78,0.0001032051945176,516.341825529433
vorinostat,"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9",HDAC inhibitor,8.762826723323284,174,7.564210146809602e-05,865.7754484626099
GGTI-298,CDKN1A,GGTase inhibitor,12.769406495433005,87,1.336109576831e-05,935.415293476043
hydroxyurea,"RRM1, RRM2, RRM2B",ribonucleotide reductase inhibitor,15.222591496012159,88,0.0001453231142409,1139.90718006572
RITA,MDM2,MDM inhibitor,16.873750561028597,89,0.0011786342217436,1400.53883668616
dacarbazine,"PGD, POLA2",DNA alkylating agent,18.303519144238393,144,0.000162867208591,1839.50294870798
nexturastat-a,"HDAC1, HDAC6",HDAC inhibitor,30.02108356057419,82,2.4113438167457e-05,2318.72835044387
aspirin,"AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53",cyclooxygenase inhibitor,36.09782485311691,81,0.0012191316515544,2480.54693774854
cytarabine,"POLA1, POLB, POLD1, POLE",ribonucleotide reductase inhibitor,51.66078713528453,68,1.03513358624412e-05,3008.1565098056
tacedinaline,HDAC1,HDAC inhibitor,52.09310857503797,161,7.858997804630843e-05,7666.395272246068
AMG-232,MDM2,MDM inhibitor,59.08708525429509,85,0.0002019776673123,4935.22075823975
RGFP966,HDAC3,HDAC inhibitor,69.8749094485595,73,1.24385964475571e-05,3724.37655244141
nelarabine,POLA1,"DNA synthesis inhibitor, T cell inhibitor",98.57963027363522,66,4.99155478766272e-05,5427.17321561289
chidamide,"HDAC10, HDAC3",HDAC inhibitor,163.7806326352746,90,1.03575556751149e-05,9509.09055375855
